,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,cluster
House_3,0.195,1.066,1.072,1.012,1.01,0.96,0.941,0.977,0.989,0.989,1.044,1.096,0.906,1.471,1.966,1.806,2.1489999,1.581,1.979,1.431,1.9809999,2.5320001,0.284,2.615,2.51,1.973,1.607,1.669,1.053,1.947,1.92,1.994,1.23,1.77,2.0409999,2.7550001,2.9779999,2.779,3.0079999,4.1430001,3.8789999,2.8310001,2.516,2.257,2.8599999,2.0309999,2.6600001,1.362,2
House_28,0.063,0.737,0.739,0.757,0.737,0.809,0.811,0.804,0.819,0.832,0.866,0.774,0.956,1.016,0.718,0.618,0.668,0.658,0.605,0.653,0.643,0.162,0.649,0.713,2.3380001,0.747,2.53,2.516,2.0780001,2.313,2.348,2.2090001,1.956,2.1700001,1.947,3.026,3.6359999,3.8770001,2.9920001,2.8740001,3.408,2.7130001,2.885,2.1830001,2.326,1.961,2.641,2.5220001,2
House_30,0.322,0.341,0.215,0.149,0.212,0.243,0.252,0.296,0.191,0.123,0.196,0.263,0.218,0.192,0.142,0.204,0.578,0.313,0.403,0.439,0.537,0.056,0.445,0.063,0.61,0.063,0.659,0.609,0.661,0.651,0.617,0.644,0.616,0.788,1.214,1.404,3.901,3.6440001,3.474,3.3989999,3.0380001,3.1989999,3.306,3.4330001,3.1010001,3.3440001,3.0969999,1.1569999,2
House_38,0.056,0.075,0.075,0.094,0.065,0.067,0.088,0.068,0.076,0.126,0.11,0.063,0.065,0.382,0.196,0.086,0.083,0.06,0.061,0.082,0.063,1.048,0.08,0.484,0.549,0.278,0.675,0.755,0.949,1.193,1.053,1.232,1.225,1.3559999,1.395,1.507,1.5039999,1.512,1.518,1.7410001,1.881,1.9,1.891,1.605,1.474,1.466,1.446,1.4349999,2
House_49,0.168,0.088,0.062,0.088,0.116,0.141,0.147,0.119,0.145,0.132,0.128,0.143,0.138,0.14,0.189,0.497,0.557,0.467,0.637,0.124,0.121,0.07,0.102,0.07,0.993,0.074,0.959,0.893,0.53,2.0250001,2.9849999,1.6390001,0.98,2.0409999,3.224,3.503,1.726,1.225,1.539,1.636,2.7809999,3.2579999,3.4820001,3.3740001,1.92,0.795,0.171,0.057,2
House_125,0.193,0.079,0.088,0.086,0.06,0.155,0.069,0.088,0.084,0.068,0.37,0.06,0.092,0.105,0.108,0.108,0.105,0.135,0.384,0.213,0.163,0.412,0.428,0.296,0.311,0.334,1.513,1.041,0.814,1.2539999,0.666,0.864,1.075,1.051,1.039,1.604,1.8660001,1.762,1.919,1.785,1.872,2.0599999,2.207,2.191,2.339,2.277,2.1800001,1.252,2
House_166,0.005,0.09,0.09,0.091,0.092,0.115,0.105,0.094,0.094,0.094,0.095,0.093,0.149,0.168,0.121,0.088,0.085,0.17,0.09,0.041,0.032,0.175,0.059,0.058,1.928,0.128,1.9220001,1.58,1.648,1.624,1.642,1.584,2.069,2.6040001,2.214,2.3239999,2.3169999,1.938,1.738,1.801,1.791,1.814,1.8430001,1.86,1.426,1.225,1.074,1.0829999,2
