,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,cluster
House_171,0.082,0.153,0.099,0.07,0.09,0.119,0.078,0.067,0.088,0.092,0.091,0.114,0.133,0.172,0.095,0.11,0.529,0.449,0.414,0.351,0.214,0.25,0.239,0.227,0.558,1.321,0.269,0.076,0.094,0.074,0.103,0.136,0.12,0.1,0.119,0.154,0.111,1.517,2.8599999,2.1619999,2.0209999,1.507,1.247,1.156,0.314,0.199,0.145,0.09,1
House_173,0.057,0.298,0.297,0.284,0.187,0.242,0.288,0.288,0.299,0.123,0.063,0.212,0.213,0.476,0.48,0.369,0.443,0.443,0.374,0.322,0.289,0.284,0.434,0.275,0.28,0.6,0.367,0.409,0.33,0.357,0.335,0.339,0.39,1.128,1.1210001,1.152,1.0039999,1.388,0.916,1.011,1.41,0.735,0.71,0.705,0.433,0.339,0.242,0.285,1
House_175,0.039,0.217,0.259,0.305,0.413,0.252,0.234,0.339,0.335,0.325,0.302,0.348,0.327,0.206,0.229,0.341,0.334,0.336,0.557,0.339,0.756,0.903,0.599,0.513,0.239,0.261,0.344,0.416,2.1600001,0.831,0.541,0.627,0.735,0.785,0.633,0.595,1.05,0.889,0.809,0.632,0.426,0.571,0.966,1.498,1.029,1.665,1.61,0.676,1
House_182,0.034,0.948,0.871,0.809,0.882,0.823,0.884,0.813,0.868,0.839,0.106,0.993,0.904,0.335,0.878,0.949,0.886,0.978,0.831,0.858,0.82,0.855,0.815,1.3,1.257,1.291,1.255,1.291,1.2539999,0.939,0.81,0.872,1.002,1.194,1.267,1.377,1.306,1.302,2.2909999,1.431,1.7970001,1.212,1.153,1.278,1.196,1.044,0.962,1.156,1
House_199,0.044,0.277,0.254,0.265,0.26,0.152,0.162,0.2,0.218,0.219,0.126,0.223,0.233,0.073,0.343,0.637,1.0930001,1.082,0.503,0.374,0.343,0.528,0.351,0.655,0.555,0.485,0.522,0.624,0.737,0.477,1.059,1.5089999,1.874,1.1900001,0.542,0.417,1.0650001,0.818,0.484,0.577,0.579,0.514,0.521,0.662,0.677,0.608,0.528,0.471,1
House_203,0.057,0.256,0.278,0.27,0.297,0.252,0.252,0.281,0.278,0.331,0.039,0.266,0.466,0.139,0.247,0.444,0.982,1.395,1.925,1.3609999,0.966,0.309,1.154,0.323,0.372,1.0039999,0.63,0.339,0.42,0.342,0.377,0.284,0.868,1.2920001,1.601,1.376,1.09,0.713,0.949,0.754,0.611,0.572,0.601,0.659,0.57,0.325,0.347,0.287,1
House_205,0.564,0.426,0.396,0.377,0.422,0.368,0.407,0.38,0.423,0.378,0.169,0.436,0.436,0.201,1.073,0.617,0.472,0.474,0.568,1.2029999,0.922,1.046,1.0319999,1.257,0.922,0.744,0.849,0.744,0.767,0.433,0.478,0.475,0.439,0.562,1.256,1.691,1.355,1.268,1.304,0.951,1.012,1.178,0.962,0.959,0.904,0.894,0.794,0.923,1
House_206,0.116,0.591,0.44,1.409,2.1340001,0.698,0.288,0.618,0.161,0.151,0.114,0.114,0.123,0.245,0.111,0.131,0.135,0.113,0.132,0.12,0.42,0.509,0.91,1.528,0.35,0.297,0.123,0.706,0.609,1.476,1.697,0.808,1.043,0.915,0.958,0.732,0.503,0.458,0.503,0.559,0.789,0.603,0.573,0.53,0.499,0.397,0.676,0.267,1
House_241,0.184,0.198,0.419,0.296,0.192,0.182,0.173,0.182,0.175,0.196,0.032,0.976,0.376,0.114,0.251,0.279,1.036,0.682,0.494,0.494,0.341,0.332,1.281,1.454,2.0020001,1.253,1.276,1.446,1.253,0.716,0.671,0.488,0.703,0.636,0.704,0.723,0.736,0.605,0.595,0.602,1.664,2.007,0.448,0.44,0.45,0.459,0.483,0.492,1
House_247,0.084,0.737,0.31,0.273,0.689,0.228,0.193,0.214,0.156,0.396,0.16,0.617,1.1569999,0.129,0.565,0.432,0.525,0.511,0.528,0.637,1.152,0.941,0.911,0.439,0.575,0.667,0.269,0.302,0.267,0.434,0.399,1.187,2.0769999,2.1029999,2.3859999,2.2709999,1.798,1.1900001,0.92,1.375,1.73,1.488,1.198,1.049,0.871,0.765,0.655,0.509,1
